original_title,revenue,budget,popularity,actors_cnt,original_language,language_en,language_fr,language_es,language_de,language_ru,language_it,language_ja,release_date,release_year,release_month,release_week,release_weekday,runtime,runtime_intervals,runtime_cat,is_collection,keywords_cnt,crew_total_cnt,crew_writing_cnt,crew_directing_cnt,crew_art_cnt,crew_sound_cnt,crew_costume_makeup_cnt,crew_visual_effects_cnt,crew_production_cnt,crew_actors_cnt,crew_camera_cnt,crew_lighting_cnt,crew_editing_cnt,sw_genre_action,sw_genre_adventure,sw_genre_animation,sw_genre_comedy,sw_genre_crime,sw_genre_documentary,sw_genre_drama,sw_genre_family,sw_genre_fantasy,sw_genre_foreign,sw_genre_history,sw_genre_horror,sw_genre_music,sw_genre_mystery,sw_genre_romance,sw_genre_science_fiction,sw_genre_thriller,sw_genre_tv_movie,sw_genre_war,sw_genre_western,genres_total,actor0_avg_revenue,actor0_avg_revenue_5y,actor0_blockbusters,actor0_blockbusters_5y,actor0_movies,actor0_movies_5y,actor0_gender,actor1_avg_revenue,actor1_avg_revenue_5y,actor1_blockbusters,actor1_blockbusters_5y,actor1_movies,actor1_movies_5y,actor1_gender,actor2_avg_revenue,actor2_avg_revenue_5y,actor2_blockbusters,actor2_blockbusters_5y,actor2_movies,actor2_movies_5y,actor2_gender,all_directors_avg_revenue,all_directors_avg_blockbusters,all_directors_avg_revenue_5y,all_directors_avg_blockbusters_5y,all_producers_avg_revenue,all_producers_avg_blockbusters,all_producers_avg_revenue_5y,all_producers_avg_blockbusters_5y
Jaane Tu... Ya Jaane Na,13180461,2731086,1.970054,12,en,1,0,0,0,0,0,0,2008-07-04,2008,7,27,6,155,16,Long,0,0,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,11100000,NULL,0,0,1,0,2,11100000,NULL,0,0,1,0,1,29050000,47000000,0,0,2,1,0,11100000,0,NULL,0,160550000,1,310000000,1
Michael Clayton,114684098,30831766,7.857078,18,en,1,0,0,0,0,0,0,2007-09-28,2007,9,39,6,119,12,Intermediate,0,9,16,1,1,1,1,0,0,9,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,151651752,339609877,14,3,20,3,2,140537626,19286129,7,0,15,3,2,147726409,57576979,6,2,12,4,1,143188258,2,NULL,0,78481316.5,2,NULL,0
Faithful,15951921,21182543,1.296862,10,en,1,0,0,0,0,0,0,1996-04-03,1996,4,14,4,91,9,Intermediate,0,5,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,38711969,NULL,1,0,6,0,1,70809947,NULL,1,0,3,0,2,49730060,NULL,1,0,4,0,2,9676647,0,NULL,0,65326571,2,NULL,0
Van Wilder 2: The Rise of Taj,7718544,0,5.985236,19,en,1,0,0,0,0,0,0,2006-12-01,2006,12,48,6,97,10,Intermediate,0,6,34,3,1,5,1,0,0,20,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,120886886,NULL,1,0,4,0,2,6086508,NULL,0,0,1,0,0,6086508,NULL,0,0,1,0,1,6086508,0,NULL,0,40516961.5,0,12314651,0
Secretary,13222837,5684425,10.936827,9,en,1,0,0,0,0,0,0,2002-01-11,2002,1,2,6,104,10,Intermediate,0,14,10,1,1,0,1,0,0,4,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,248488206,1405403694,1,1,6,1,2,146482911,103005962,2,1,9,2,1,11452172,NULL,0,0,4,0,2,9304609,0,NULL,0,9304609,0,NULL,0
Steve Jobs: The Man in the Machine,533396,0,5.019486,19,en,1,0,0,0,0,0,0,2015-08-07,2015,8,32,6,129,13,Long,0,4,28,1,1,0,3,0,0,8,0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,494506,494506,0,0,1,1,2,494506,494506,0,0,1,1,1,494506,494506,0,0,1,1,2,548274,0,548274,0,521390,0,521390,0
Another Year,21249562,9379499,5.000657,14,en,1,0,0,0,0,0,0,2010-11-05,2010,11,45,6,129,13,Long,0,8,20,1,2,3,5,0,0,4,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,194283303,55388839,9,1,19,5,2,259285456,758539785,1,1,3,1,1,10525485,155420,0,0,5,2,1,9658292,0,NULL,0,18124262,0,NULL,0
Borsalino,20,0,4.471645,19,fr,0,1,0,0,0,0,0,1970-05-19,1970,5,21,3,126,13,Long,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,20872361,NULL,0,0,2,0,2,66450002,NULL,1,0,2,0,2,3,NULL,0,0,1,0,1,3,0,NULL,0,NULL,NULL,NULL,NULL
Yolngu Boy,969,0,0.407732,0,en,1,0,0,0,0,0,0,2001-03-22,2001,3,12,5,88,9,Short,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Innerspace,58274065,0,10.134408,48,en,1,0,0,0,0,0,0,1987-06-30,1987,6,27,3,120,12,Long,0,3,11,2,1,0,1,0,0,4,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,72632760,18662027,4,0,8,1,2,57058876,98594439,6,1,20,2,2,103001805,NULL,5,0,12,0,1,72243491,1,NULL,0,205441195.5,4,385210246,0
Thunderbolt and Lightfoot,112530566,0,8.283863,16,en,1,0,0,0,0,0,0,1974-05-23,1974,5,21,5,115,12,Intermediate,0,4,12,1,1,2,1,0,0,3,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,53521335,NULL,2,0,12,0,2,81218767,114178613,5,1,14,1,2,17656127,NULL,0,0,10,0,2,25061444,0,NULL,0,25520665,0,NULL,0
Ice Age: Dawn of the Dinosaurs,1056636811,107250171,12.980624,27,en,1,0,0,0,0,0,0,2009-06-29,2009,6,27,2,94,9,Intermediate,0,8,8,2,1,0,1,0,0,2,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,468441605,408579038,4,1,5,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,167758173,234639519,8,1,18,2,2,577128257,4,500188435,1,535384415,4,419345635.5,1
My Sister's Keeper,114060408,35750057,6.793972,16,en,1,0,0,0,0,0,0,2009-06-26,2009,6,26,6,109,11,Intermediate,0,6,22,3,1,1,1,0,0,13,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,149103693,133895264,10,2,13,2,1,106303551,177254976,10,1,19,3,2,123402622,68572378,7,0,9,1,1,102512535,3,196781193,1,102351920.6,1,NULL,0
??????????????,31857570,0,6.228255,12,ja,0,0,0,0,0,0,1,1997-07-19,1997,7,29,7,87,9,Short,1,7,7,1,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,30581021,NULL,0,0,2,0,0,30581021,NULL,0,0,2,0,1,48074400,83061158,1,1,3,1,1,38317517.5,0,77000000,0,11143857,0,NULL,0
Khatta Meetha,11724374,8793280,0.494047,10,hi,0,0,0,0,0,0,0,2010-07-23,2010,7,30,6,155,16,Long,0,1,11,1,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,13693727,41000000,0,0,7,1,2,7333334,NULL,0,0,3,0,1,7733482,NULL,0,0,3,0,2,5000102,0,NULL,0,NULL,NULL,NULL,NULL
Thunderball,1145957408,44638524,10.517835,19,en,1,0,0,0,0,0,0,1965-12-16,1965,12,51,5,130,13,Long,0,11,16,5,1,2,2,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,124048735,NULL,8,0,16,0,2,141195658,NULL,1,0,1,0,1,141195658,NULL,1,0,1,0,2,76097829,1,NULL,0,140098510.3,4,NULL,0
Tasogare Seibei,10429480,7105531,4.281103,15,ja,0,0,0,0,0,0,1,2002-11-02,2002,11,44,7,129,13,Long,0,5,16,3,1,0,1,0,0,9,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,135465549,222397938,3,1,6,2,0,7338987,NULL,0,0,1,0,0,7338987,NULL,0,0,1,0,0,7338987,0,NULL,0,7338987,0,NULL,0
Edward II,1303509,0,4.556825,52,en,1,0,0,0,0,0,0,1991-09-03,1991,9,36,3,90,9,Intermediate,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,3,27797231,NULL,1,0,3,0,2,147726409,57576979,6,2,12,4,1,141459167,337580051,2,1,4,1,2,1206383,0,NULL,0,NULL,NULL,NULL,NULL
Spy Kids,213553973,50525099,9.576745,16,en,1,0,0,0,0,0,0,2001-03-18,2001,3,12,1,88,9,Short,0,6,55,2,2,5,12,0,0,16,0,2,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,50207435,NULL,1,0,3,0,1,154467060,NULL,2,0,3,0,2,97494396,115537634,7,1,14,2,2,69923495,3,NULL,0,92171599.5,3,NULL,0
Dheepan,267927,0,5.752416,11,fr,0,1,0,0,0,0,0,2015-08-26,2015,8,35,4,115,12,Intermediate,0,5,39,3,1,4,7,0,0,3,0,3,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,248392,248392,0,0,1,1,0,248392,248392,0,0,1,1,0,248392,248392,0,0,1,1,0,13005210,0,248392,0,20434963,0,248392,0
Eat Pray Love,239873667,70346241,15.904834,19,en,1,0,0,0,0,0,0,2010-08-12,2010,8,33,5,133,13,Long,0,5,16,3,1,2,1,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114504314,70850382,8,1,17,2,1,58132558,3721285,5,0,19,6,2,75726669,35798475,3,1,7,2,2,105674457,1,NULL,0,117742201,3,148710445,2
Ransom,504295541,130354111,8.772188,38,en,1,0,0,0,0,0,0,1996-11-08,1996,11,45,6,117,12,Intermediate,0,8,16,2,1,3,1,0,0,5,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,117738757,206172544,10,1,21,1,2,251458268,714766572,4,1,6,1,2,107309454,133718711,7,1,10,1,2,169850791,9,156921009,2,102869370.5,10,76469869.5,1
Labor Day,22251545,19753972,6.108646,19,en,1,0,0,0,0,0,0,2013-12-27,2013,12,52,6,111,11,Intermediate,0,2,46,2,2,7,8,0,0,8,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,257927120,431943740,6,5,11,6,2,57068127,42010611,3,1,9,3,1,66648034,20275812,1,0,2,1,2,88122413,2,10368487,0,60846630.2,0,16494449.6,0
???2 ???????,17,0,1.13376,7,ja,0,0,0,0,0,0,1,2011-11-05,2011,11,45,7,133,13,Long,0,0,9,3,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,13896608,NULL,0,0,2,0,2,5452658,NULL,0,0,4,0,2,15,NULL,0,0,1,0,1,15,0,NULL,0,15,0,NULL,0
Happy Accidents,1022197,0,9.916094,10,en,1,0,0,0,0,0,0,2000-01-25,2000,1,5,3,110,11,Intermediate,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,39964043,80146842,4,4,12,5,2,108828132,92134841,8,2,14,3,1,688510,NULL,0,0,1,0,1,25821374,0,68572378,0,NULL,NULL,NULL,NULL
Junior,63827996,103504858,6.710215,66,en,1,0,0,0,0,0,0,1994-11-22,1994,11,48,3,109,11,Intermediate,0,10,9,2,1,0,1,0,0,1,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,158803707,111840531,13,1,16,2,2,93191361,NULL,7,0,16,0,2,233452337,377976666,4,2,10,4,1,144348261,5,NULL,0,121616234,8,NULL,0
Starsky & Hutch,230441492,81203917,10.776138,84,en,1,0,0,0,0,0,0,2004-03-05,2004,3,10,6,101,10,Intermediate,0,3,109,7,3,11,18,0,0,19,0,7,4,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,82880245,96275495,6,1,15,2,2,139404535,126070513,13,2,22,4,2,65422924,105862625,3,2,6,2,2,229435023,6,224117298,2,174468479.2,3,282626097,0
The Bonfire of the Vanities,30692908,91934805,5.507082,22,en,1,0,0,0,0,0,0,1990-12-21,1990,12,51,6,125,13,Long,0,5,12,2,1,0,1,0,0,4,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,192311588,125249363,12,3,18,4,2,83661434,92346477,8,1,25,3,2,24987142,NULL,1,0,6,0,1,40515379,1,NULL,0,59791301,1,NULL,0
The Town,180585996,43380182,13.081203,48,en,1,0,0,0,0,0,0,2010-09-15,2010,9,38,4,125,13,Long,0,18,38,4,3,3,5,0,0,10,0,2,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,73313574,130865511,6,1,16,3,2,65519543,58978653,2,0,5,1,1,464551969,470957456,8,3,10,4,2,136342940,2,22678555,0,130797662.5,4,83224614,1
About Cherry,3344,2783794,5.46567,7,en,1,0,0,0,0,0,0,2012-02-14,2012,2,7,3,102,10,Intermediate,0,1,19,2,2,1,4,0,0,1,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6934219,13865435,0,0,2,1,1,58132558,3721285,5,0,19,6,2,148335403,362000072,6,1,10,1,1,3003,0,NULL,0,NULL,NULL,NULL,NULL
Moonlight,69288149,4260826,14.171675,21,en,1,0,0,0,0,0,0,2016-10-21,2016,10,43,6,111,11,Intermediate,0,15,89,2,5,10,19,0,0,16,0,11,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,65046687,65046687,0,0,1,1,2,37185260,65046687,0,0,2,1,2,321511687,260766853,5,2,7,4,1,65046687,0,65046687,0,110499777.7,1,120822525.7,1
The Night We Never Met,3334712,0,1.132307,9,en,1,0,0,0,0,0,0,1993-04-30,1993,4,18,6,99,10,Intermediate,0,0,15,1,1,4,1,0,0,5,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,124488764,140795793,5,1,12,1,2,33339949,NULL,1,0,5,0,1,118470228,NULL,1,0,3,0,1,1884814,0,NULL,0,57921921,2,NULL,0
Run,8276619,30033128,5.857368,9,en,1,0,0,0,0,0,0,1991-02-01,1991,2,5,6,91,9,Intermediate,0,1,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,217932048,211952420,6,1,9,1,2,46971295,NULL,2,0,8,0,1,4409328,NULL,0,0,1,0,2,4409328,0,NULL,0,NULL,NULL,NULL,NULL
Men of Honor,72473131,47508850,7.177649,12,en,1,0,0,0,0,0,0,2000-09-13,2000,9,38,4,129,13,Long,0,2,11,1,1,0,1,0,0,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59660418,97314166,8,2,30,4,2,97810765,NULL,5,0,8,0,2,92905270,189533464,4,1,14,2,1,48814909,0,NULL,0,78314772,1,NULL,0
Fired Up!,22163965,23833371,6.312206,24,en,1,0,0,0,0,0,0,2009-02-20,2009,2,8,6,90,9,Intermediate,0,3,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10549551,NULL,0,0,2,0,2,51996067,NULL,1,0,5,0,2,68179618,NULL,1,0,2,0,1,18599102,0,NULL,0,NULL,NULL,NULL,NULL
Interview with the Vampire,385839559,103504858,11.970205,15,en,1,0,0,0,0,0,0,1994-11-11,1994,11,46,6,123,12,Long,0,7,18,2,1,4,1,0,0,6,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,138129629,245406947,10,3,15,3,2,205640507,407778013,9,1,15,1,2,73440511,87451337,4,1,15,3,1,74851876,1,NULL,0,104741585,1,26222803,0
Red Dawn,49893149,72378655,5.627787,98,en,1,0,0,0,0,0,0,2012-11-21,2012,11,47,4,93,9,Intermediate,0,5,15,2,1,0,1,0,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,521686952,749612226,3,2,6,2,2,146781716,460927448,3,2,8,2,2,191623458,12798407,1,0,5,2,1,44806783,0,NULL,0,119642836.3,1,470490832,0
Bliss,1569432,8078381,0.40319,17,en,1,0,0,0,0,0,0,1985-10-04,1985,10,40,6,112,11,Intermediate,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,21842315,18340000,0,0,4,1,2,660537,NULL,0,0,1,0,1,660537,NULL,0,0,1,0,1,660537,0,NULL,0,NULL,NULL,NULL,NULL
The Electric Horseman,217632321,0,5.916187,17,en,1,0,0,0,0,0,0,1979-12-21,1979,12,51,6,122,12,Long,0,6,6,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,4,113325772,358654063,6,1,14,2,2,17397550,14457154,0,0,8,3,1,162914302,NULL,4,0,5,0,1,88303249,2,NULL,0,71828923,1,NULL,0
Benny & Joon,41051497,0,10.597116,27,en,1,0,0,0,0,0,0,1993-04-16,1993,4,16,6,98,10,Intermediate,0,3,10,2,1,0,1,0,0,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,288573267,NULL,9,0,16,0,2,9895382,NULL,0,0,3,0,1,59705552,NULL,2,0,6,0,2,23202734,0,NULL,0,57195820,1,NULL,0
Knock Knock,6840420,2696610,11.898793,9,en,1,0,0,0,0,0,0,2015-06-26,2015,6,26,6,99,10,Intermediate,0,20,34,5,2,2,3,0,0,13,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,59976670,7687720,4,0,16,4,2,3200097,6341684,0,0,2,1,1,31454711,31454711,1,1,3,3,1,18447539,0,6341684,0,5929206.2,0,5225265.7,0
Willy Wonka & the Chocolate Factory,25250074,18937556,12.416635,36,en,1,0,0,0,0,0,0,1971-06-29,1971,6,27,3,100,10,Intermediate,0,11,14,2,1,0,3,0,0,4,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,56782492,NULL,2,0,5,0,2,2108083,NULL,0,0,2,0,0,4000000,NULL,0,0,1,0,0,4000000,0,NULL,0,4000000,0,NULL,0
Species,190189521,58713878,13.492845,53,en,1,0,0,0,0,0,0,1995-07-07,1995,7,27,6,108,11,Intermediate,0,15,43,1,2,4,7,0,0,8,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,52642871,NULL,2,0,6,0,1,42000610,20778913,3,0,14,3,2,167322047,155760117,7,1,12,1,2,63745594,3,32556119,0,71960200,1,NULL,0
Evita,229825995,89618451,6.709803,12,en,1,0,0,0,0,0,0,1996-12-14,1996,12,50,7,134,13,Long,0,8,9,2,1,0,1,0,0,3,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3,106442218,NULL,2,0,6,0,1,97494396,115537634,7,1,14,2,2,239064414,42070000,4,0,9,1,2,41337682,1,NULL,0,142175032.3,1,NULL,0
S. Darko,4885841,4766674,7.959965,26,en,1,0,0,0,0,0,0,2009-04-28,2009,4,18,3,103,10,Intermediate,0,5,18,2,2,1,3,0,0,5,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,4,82775769,NULL,1,0,2,0,1,73576944,NULL,2,0,3,0,1,77458350,NULL,1,0,2,0,1,2050263,0,NULL,0,11442713,0,NULL,0
Monsieur Ibrahim et les fleurs du Coran,16084759,0,8.260823,13,fr,0,1,0,0,0,0,0,2003-12-03,2003,12,49,4,94,9,Intermediate,0,24,8,2,1,0,1,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97607470,NULL,2,0,4,0,0,15475477,NULL,0,0,3,0,0,27910810,NULL,0,0,3,0,2,11576431,0,NULL,0,45933268,0,NULL,0
The Sting II,16291901,0,3.659745,75,en,1,0,0,0,0,0,0,1983-02-18,1983,2,8,6,102,10,Intermediate,0,4,11,2,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,51704282,NULL,1,0,4,0,2,16213192,NULL,0,0,2,0,2,16478027,NULL,0,0,7,0,1,6347072,0,NULL,0,NULL,NULL,NULL,NULL
Amarkalam,767278,767278,0.493342,11,en,1,0,0,0,0,0,0,1999-08-25,1999,8,35,4,157,16,Long,0,0,6,1,1,0,1,0,0,1,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3428571,21000000,0,0,7,1,2,3250000,NULL,0,0,2,0,0,6666667,NULL,0,0,3,0,2,500000,0,NULL,0,500000,0,NULL,0
Deep Blue Sea,113017317,92073349,7.493615,18,en,1,0,0,0,0,0,0,1999-07-28,1999,7,31,4,105,11,Intermediate,0,5,148,4,4,21,16,0,0,20,0,12,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,46747569,3295624,2,0,6,1,2,64973351,NULL,1,0,2,0,0,61897617,NULL,3,0,6,0,2,53857994,3,NULL,0,149130209.5,3,377118872,0
Police Academy 4: Citizens on Patrol,63152102,0,5.952392,23,en,1,0,0,0,0,0,0,1987-04-02,1987,4,14,5,88,9,Short,0,5,6,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,39578760,NULL,1,0,6,0,2,31663619,NULL,0,0,5,0,2,22759855,NULL,0,0,7,0,2,28061343,0,NULL,0,31663619,0,NULL,0
El pico,3424605,0,0.02158,20,es,0,0,1,0,0,0,0,1983-09-04,1983,9,37,1,105,11,Intermediate,0,11,12,2,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,897865,NULL,0,0,4,0,0,887037,NULL,0,0,3,0,2,1334173,NULL,0,0,1,0,0,897865,0,NULL,0,NULL,NULL,NULL,NULL
Joshua,1915634,0,1.109111,4,en,1,0,0,0,0,0,0,2002-04-19,2002,4,16,6,91,9,Intermediate,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,115825177,NULL,2,0,10,0,2,50558406,NULL,3,0,9,0,2,96244090,5496951,5,0,11,1,2,1347988,0,NULL,0,NULL,NULL,NULL,NULL
That Thing You Do!,56354389,0,8.685761,25,en,1,0,0,0,0,0,0,1996-10-04,1996,10,40,6,108,11,Intermediate,0,5,9,1,1,0,1,0,0,3,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,65470449,40120144,2,0,5,1,2,42647801,NULL,0,0,5,0,2,192311588,125249363,12,3,18,4,2,35372896,0,NULL,0,64614829.7,1,20497844,0
Tuck Everlasting,27225657,21316593,5.951492,8,en,1,0,0,0,0,0,0,2002-10-11,2002,10,41,6,90,9,Intermediate,0,10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,5,43537402,NULL,1,0,6,0,1,62601423,32156104,4,0,13,2,2,56817376,NULL,2,0,7,0,1,19158074,0,NULL,0,NULL,NULL,NULL,NULL
55 Days at Peking,83548039,142031667,2.972529,17,en,1,0,0,0,0,0,0,1963-05-06,1963,5,19,2,154,15,Long,0,3,13,2,2,2,1,0,0,4,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,77795277,NULL,6,0,12,0,2,33555551,NULL,1,0,3,0,1,16245878,NULL,0,0,8,0,2,9198000,0,NULL,0,9125000,0,NULL,0
The Conjuring 2,341047152,42608257,14.767317,30,en,1,0,0,0,0,0,0,2016-05-13,2016,5,20,6,134,13,Long,0,10,54,4,2,10,7,0,0,6,0,3,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,205392699,319085075,4,2,6,2,2,133818601,240629846,7,3,10,3,1,147290131,147290131,2,2,3,3,1,453061127,4,714806503,3,259842802,3,308449864.5,2
10 Items or Less,736189,0,3.898236,21,en,1,0,0,0,0,0,0,2006-09-11,2006,9,37,2,81,8,Short,0,9,9,1,1,0,1,0,0,4,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1886538,2450846,0,0,3,1,1,131610244,132763967,13,5,27,6,2,87168009,140941430,4,1,10,2,2,5295789,0,NULL,0,2187260,0,685463.5,0
Black Sheep,52,0,8.963037,17,en,1,0,0,0,0,0,0,1996-02-01,1996,2,5,5,87,9,Short,0,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19712480,NULL,0,0,3,0,2,91254223,473226958,2,1,7,1,2,140856209,NULL,5,0,7,0,2,32,0,NULL,0,NULL,NULL,NULL,NULL
Results,112726,0,3.967229,10,en,1,0,0,0,0,0,0,2015-05-29,2015,5,22,6,105,11,Intermediate,0,5,8,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,747485365,554467228,4,3,5,4,1,50232290,804977,1,0,11,3,2,104507,0,104507,0,NULL,NULL,NULL,NULL
The Legend Fong Sai Yuk,7000779,0,3.782615,10,cn,0,0,0,0,0,0,0,1993-03-04,1993,3,10,5,106,11,Intermediate,0,1,4,3,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,89246461,206172544,4,1,9,1,2,3956913,NULL,0,0,1,0,0,3956913,NULL,0,0,1,0,2,23942923,0,NULL,0,NULL,NULL,NULL,NULL
Dear Zindagi,3596536,4580388,3.699552,8,hi,0,0,0,0,0,0,0,2016-11-24,2016,11,48,5,149,15,Long,0,0,15,2,2,0,1,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3376375,3376375,0,0,1,1,1,19716027,31542657,0,0,8,3,2,3376375,3376375,0,0,1,1,2,3376375,0,3376375,0,14784290.3,0,13146979.3,0
